# A_ksz HMCode_logT_AGN logA mnu n_ksz nnu ns ombh2 omch2 tau theta
3.198199732299672067e+07 -6.798321746340707177e+05 1.390144035102571547e+07 -2.393214683329287916e+06 4.071316255026139319e+07 -2.506357446946727578e+06 1.814607742141949758e+07 -1.470424446794173419e+08 1.474018626184706986e+08 -1.235497278219755925e+07 -3.730156363476976752e+07
-6.798321746340707177e+05 2.764365545789849057e+04 -5.093085974769156892e+05 1.081853576977360644e+05 -7.558099331885476131e+05 1.072951372629731632e+05 -6.943726533390694531e+05 7.050626595746805891e+06 -6.741386557964378968e+06 3.243497426804303541e+05 1.459427740374243353e+06
1.390144035102571547e+07 -5.093085974769156892e+05 1.610578178913627751e+07 -2.062875076894785278e+06 1.490300687307258323e+07 -2.810753650163537357e+06 1.988282482671538740e+07 2.537088578849134967e+07 1.245514701353126317e+08 -1.878077270827437937e+07 -5.389994982901228964e+07
-2.393214683329287916e+06 1.081853576977360644e+05 -2.062875076894785278e+06 4.651898962892206036e+05 -2.657559332498190925e+06 4.520357748514880659e+05 -2.762999804174607154e+06 3.007476706654376537e+07 -2.873002457857934013e+07 1.146551946047657868e+06 6.229517004040016793e+06
4.071316255026139319e+07 -7.558099331885476131e+05 1.490300687307258323e+07 -2.657559332498190925e+06 5.697856928005152196e+07 -2.681727677710096817e+06 1.981898656013379619e+07 -1.863884759968591928e+08 1.636140269492877424e+08 -1.265220037359707057e+07 -3.778231317521125823e+07
-2.506357446946727578e+06 1.072951372629731632e+05 -2.810753650163537357e+06 4.520357748514880659e+05 -2.681727677710096817e+06 5.687658473089885665e+05 -3.751447749702747446e+06 1.000457203285680444e+05 -2.810933335437191650e+07 2.687839079000488389e+06 9.971451320748675615e+06
1.814607742141949758e+07 -6.943726533390694531e+05 1.988282482671538740e+07 -2.762999804174607154e+06 1.981898656013379619e+07 -3.751447749702747446e+06 2.633988705791725591e+07 4.353305099008511007e+07 1.707270413613275886e+08 -2.181490624563319236e+07 -7.098238511620840430e+07
-1.470424446794173419e+08 7.050626595746805891e+06 2.537088578849134967e+07 3.007476706654376537e+07 -1.863884759968591928e+08 1.000457203285680444e+05 4.353305099008511007e+07 1.091262284850966454e+10 -1.848179318508814573e+09 -2.370191258697578609e+08 -4.924527610444280505e+08
1.474018626184706986e+08 -6.741386557964378968e+06 1.245514701353126317e+08 -2.873002457857934013e+07 1.636140269492877424e+08 -2.810933335437191650e+07 1.707270413613275886e+08 -1.848179318508814573e+09 1.798154861642597675e+09 -6.450669297423642874e+07 -3.513545116302087307e+08
-1.235497278219755925e+07 3.243497426804303541e+05 -1.878077270827437937e+07 1.146551946047657868e+06 -1.265220037359707057e+07 2.687839079000488389e+06 -2.181490624563319236e+07 -2.370191258697578609e+08 -6.450669297423642874e+07 2.984743918080011383e+07 6.802590873564395308e+07
-3.730156363476976752e+07 1.459427740374243353e+06 -5.389994982901228964e+07 6.229517004040016793e+06 -3.778231317521125823e+07 9.971451320748675615e+06 -7.098238511620840430e+07 -4.924527610444280505e+08 -3.513545116302087307e+08 6.802590873564395308e+07 5.846524218202486038e+08
