# HMCode_logT_AGN A_ksz ombh2 mnu tau nnu ns theta logA omch2 n_ksz
2.764365545789849057e+04 -6.798321746340707177e+05 7.050626595746805891e+06 1.081853576977360644e+05 3.243497426804303541e+05 1.072951372629731632e+05 -6.943726533390694531e+05 1.459427740374243353e+06 -5.093085974769156892e+05 -6.741386557964378968e+06 -7.558099331885476131e+05
-6.798321746340707177e+05 3.198199732299672067e+07 -1.470424446794173419e+08 -2.393214683329287916e+06 -1.235497278219755925e+07 -2.506357446946727578e+06 1.814607742141949758e+07 -3.730156363476976752e+07 1.390144035102571547e+07 1.474018626184706986e+08 4.071316255026139319e+07
7.050626595746805891e+06 -1.470424446794173419e+08 1.091232547630896950e+10 3.008773929483584687e+07 -2.370191258697578609e+08 8.688023086546879495e+04 4.353305099008511007e+07 -4.929928360872756839e+08 2.537088578849134967e+07 -1.847509071099737883e+09 -1.863884759968591928e+08
1.081853576977360644e+05 -2.393214683329287916e+06 3.008773929483584687e+07 4.644390103480991093e+05 1.146551946047657868e+06 4.528013014077963307e+05 -2.762999804174607154e+06 6.262740369890428148e+06 -2.062875076894785278e+06 -2.876902727509044483e+07 -2.657559332498190925e+06
3.243497426804303541e+05 -1.235497278219755925e+07 -2.370191258697578609e+08 1.146551946047657868e+06 2.984743918080011383e+07 2.687839079000488389e+06 -2.181490624563319236e+07 6.802590873564395308e+07 -1.878077270827437937e+07 -6.450669297423642874e+07 -1.265220037359707057e+07
1.072951372629731632e+05 -2.506357446946727578e+06 8.688023086546879495e+04 4.528013014077963307e+05 2.687839079000488389e+06 5.679853460826834198e+05 -3.751447749702747446e+06 9.937552573407461867e+06 -2.810753650163537357e+06 -2.806956729288916662e+07 -2.681727677710096817e+06
-6.943726533390694531e+05 1.814607742141949758e+07 4.353305099008511007e+07 -2.762999804174607154e+06 -2.181490624563319236e+07 -3.751447749702747446e+06 2.633988705791725591e+07 -7.098238511620840430e+07 1.988282482671538740e+07 1.707270413613275886e+08 1.981898656013379619e+07
1.459427740374243353e+06 -3.730156363476976752e+07 -4.929928360872756839e+08 6.262740369890428148e+06 6.802590873564395308e+07 9.937552573407461867e+06 -7.098238511620840430e+07 5.831667606605472565e+08 -5.389994982901228964e+07 -3.496271693738434911e+08 -3.778231317521125823e+07
-5.093085974769156892e+05 1.390144035102571547e+07 2.537088578849134967e+07 -2.062875076894785278e+06 -1.878077270827437937e+07 -2.810753650163537357e+06 1.988282482671538740e+07 -5.389994982901228964e+07 1.610578178913627751e+07 1.245514701353126317e+08 1.490300687307258323e+07
-6.741386557964378968e+06 1.474018626184706986e+08 -1.847509071099737883e+09 -2.876902727509044483e+07 -6.450669297423642874e+07 -2.806956729288916662e+07 1.707270413613275886e+08 -3.496271693738434911e+08 1.245514701353126317e+08 1.796128801383836031e+09 1.636140269492877424e+08
-7.558099331885476131e+05 4.071316255026139319e+07 -1.863884759968591928e+08 -2.657559332498190925e+06 -1.265220037359707057e+07 -2.681727677710096817e+06 1.981898656013379619e+07 -3.778231317521125823e+07 1.490300687307258323e+07 1.636140269492877424e+08 5.697856928005152196e+07
