# A_ksz logA mnu n_ksz nnu ns ombh2 omch2 tau theta
3.198199732299672067e+07 1.466677724006153457e+07 -2.240162342172549106e+06 4.071316255026139319e+07 -2.665908612263048999e+06 1.887665308902857080e+07 -1.306759792471061051e+08 1.508813310085809827e+08 -1.323385984160720557e+07 -4.057812342280690372e+07
1.466677724006153457e+07 1.715344141348427907e+07 -2.078988330554166343e+06 1.572647969448780268e+07 -3.027173799881810322e+06 2.096185833303080499e+07 2.892927356506877393e+07 1.338607556261474490e+08 -1.963573423354122415e+07 -5.741328088416326791e+07
-2.240162342172549106e+06 -2.078988330554166343e+06 4.354021731973125716e+05 -2.468577296168867964e+06 4.582258720153306494e+05 -2.724639490046822000e+06 2.736956027969164029e+07 -2.842499240582427755e+07 1.156092677841044962e+06 6.379532407805831172e+06
4.071316255026139319e+07 1.572647969448780268e+07 -2.468577296168867964e+06 5.697856928005152196e+07 -2.863042002325982787e+06 2.071447033757490665e+07 -1.674761637081634700e+08 1.675756539031810462e+08 -1.361008443630955741e+07 -4.157011918712582439e+07
-2.665908612263048999e+06 -3.027173799881810322e+06 4.582258720153306494e+05 -2.863042002325982787e+06 6.149277647305673454e+05 -3.977378424840144813e+06 -3.192114947675546864e+05 -3.019859073065814748e+07 2.845898689791735727e+06 1.068881203027053364e+07
1.887665308902857080e+07 2.096185833303080499e+07 -2.724639490046822000e+06 2.071447033757490665e+07 -3.977378424840144813e+06 2.737609229877999425e+07 5.143016416519252211e+07 1.794761644481703639e+08 -2.270191584579640254e+07 -7.472784784781888127e+07
-1.306759792471061051e+08 2.892927356506877393e+07 2.736956027969164029e+07 -1.674761637081634700e+08 -3.192114947675546864e+05 5.143016416519252211e+07 1.069172497353775597e+10 -1.780919749322380781e+09 -2.404731123298417628e+08 -4.949246577769370079e+08
1.508813310085809827e+08 1.338607556261474490e+08 -2.842499240582427755e+07 1.675756539031810462e+08 -3.019859073065814748e+07 1.794761644481703639e+08 -1.780919749322380781e+09 1.882851076040752172e+09 -7.080698418860650063e+07 -3.842865765165578723e+08
-1.323385984160720557e+07 -1.963573423354122415e+07 1.156092677841044962e+06 -1.361008443630955741e+07 2.845898689791735727e+06 -2.270191584579640254e+07 -2.404731123298417628e+08 -7.080698418860650063e+07 3.072320189123606309e+07 7.082370351693274081e+07
-4.057812342280690372e+07 -5.741328088416326791e+07 6.379532407805831172e+06 -4.157011918712582439e+07 1.068881203027053364e+07 -7.472784784781888127e+07 -4.949246577769370079e+08 -3.842865765165578723e+08 7.082370351693274081e+07 5.959070030477612019e+08
