# A_ksz ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.198199732299672067e+07 -1.306759792471061051e+08 -2.240162342172549106e+06 -1.323385984160720557e+07 -2.665908612263048999e+06 1.887665308902857080e+07 -4.057812342280690372e+07 1.466677724006153457e+07 1.508813310085809827e+08 4.071316255026139319e+07
-1.306759792471061051e+08 1.069142760133706093e+10 2.738253250798372179e+07 -2.404731123298417628e+08 -3.323769842306539649e+05 5.143016416519252211e+07 -4.954647328197846413e+08 2.892927356506877393e+07 -1.780249501913304090e+09 -1.674761637081634700e+08
-2.240162342172549106e+06 2.738253250798372179e+07 4.346512872561910772e+05 1.156092677841044962e+06 4.589913985716389143e+05 -2.724639490046822000e+06 6.412755773656242527e+06 -2.078988330554166343e+06 -2.846399510233538225e+07 -2.468577296168867964e+06
-1.323385984160720557e+07 -2.404731123298417628e+08 1.156092677841044962e+06 3.072320189123606309e+07 2.845898689791735727e+06 -2.270191584579640254e+07 7.082370351693274081e+07 -1.963573423354122415e+07 -7.080698418860650063e+07 -1.361008443630955741e+07
-2.665908612263048999e+06 -3.323769842306539649e+05 4.589913985716389143e+05 2.845898689791735727e+06 6.141472635042621987e+05 -3.977378424840144813e+06 1.065491328292931989e+07 -3.027173799881810322e+06 -3.015882466917539760e+07 -2.863042002325982787e+06
1.887665308902857080e+07 5.143016416519252211e+07 -2.724639490046822000e+06 -2.270191584579640254e+07 -3.977378424840144813e+06 2.737609229877999425e+07 -7.472784784781888127e+07 2.096185833303080499e+07 1.794761644481703639e+08 2.071447033757490665e+07
-4.057812342280690372e+07 -4.954647328197846413e+08 6.412755773656242527e+06 7.082370351693274081e+07 1.065491328292931989e+07 -7.472784784781888127e+07 5.944213418880598545e+08 -5.741328088416326791e+07 -3.825592342601926327e+08 -4.157011918712582439e+07
1.466677724006153457e+07 2.892927356506877393e+07 -2.078988330554166343e+06 -1.963573423354122415e+07 -3.027173799881810322e+06 2.096185833303080499e+07 -5.741328088416326791e+07 1.715344141348427907e+07 1.338607556261474490e+08 1.572647969448780268e+07
1.508813310085809827e+08 -1.780249501913304090e+09 -2.846399510233538225e+07 -7.080698418860650063e+07 -3.015882466917539760e+07 1.794761644481703639e+08 -3.825592342601926327e+08 1.338607556261474490e+08 1.880825015781990528e+09 1.675756539031810462e+08
4.071316255026139319e+07 -1.674761637081634700e+08 -2.468577296168867964e+06 -1.361008443630955741e+07 -2.863042002325982787e+06 2.071447033757490665e+07 -4.157011918712582439e+07 1.572647969448780268e+07 1.675756539031810462e+08 5.697856928005152196e+07
