# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
2.757313871920700694e+04 -5.080477419722057530e+05 -2.485525734110645999e+02 1.079209190982466680e+05 1.070832334386944131e+05 -6.926658566706961719e+05 7.035452420250156894e+06 -6.726217259940969758e+06 3.234228630553233670e+05 1.457058218662048457e+06
-5.080477419722057530e+05 1.608241138650639914e+07 4.649534703872144746e+03 -2.058180208624117076e+06 -2.806986498933618423e+06 1.985180947019445151e+07 2.563294187572204322e+07 1.242844301922393143e+08 -1.876227517002721503e+07 -5.385690559967963398e+07
-2.485525734110645999e+02 4.649534703872144746e+03 3.315048568509897819e+00 -9.090141733458513045e+02 -9.048471355272641858e+02 6.332729266390896555e+03 -6.288482988887788088e+04 5.642478774151162361e+04 -3.447776909827395230e+03 -1.239914843398294397e+04
1.079209190982466680e+05 -2.058180208624117076e+06 -9.090141733458513045e+02 4.642004282923086430e+05 4.512408584327406134e+05 -2.756632358887559269e+06 3.001727144213761017e+07 -2.867308362463080883e+07 1.143137545629567467e+06 6.220634958485199139e+06
1.070832334386944131e+05 -2.806986498933618423e+06 -9.048471355272641858e+02 4.512408584327406134e+05 5.681603792525525205e+05 -3.746393136074900627e+06 5.619473071261214500e+04 -2.806452992517981306e+07 2.685030427335116081e+06 9.965062323408870026e+06
-6.926658566706961719e+05 1.985180947019445151e+07 6.332729266390896555e+03 -2.756632358887559269e+06 -3.746393136074900627e+06 2.629819116043498740e+07 4.389550860507346690e+07 1.703642646597652137e+08 -2.179116674745139107e+07 -7.092608294176210463e+07
7.035452420250156894e+06 2.563294187572204322e+07 -6.288482988887788088e+04 3.001727144213761017e+07 5.619473071261214500e+04 4.389550860507346690e+07 1.090939728887184334e+10 -1.844911012346408367e+09 -2.372001831433484554e+08 -4.929060069739037156e+08
-6.726217259940969758e+06 1.242844301922393143e+08 5.642478774151162361e+04 -2.867308362463080883e+07 -2.806452992517981306e+07 1.703642646597652137e+08 -1.844911012346408367e+09 1.794896972402040243e+09 -6.431465728116624057e+07 -3.508673729758465290e+08
3.234228630553233670e+05 -1.876227517002721503e+07 -3.447776909827395230e+03 1.143137545629567467e+06 2.685030427335116081e+06 -2.179116674745139107e+07 -2.372001831433484554e+08 -6.431465728116624057e+07 2.983099946860546991e+07 6.799165259090662003e+07
1.457058218662048457e+06 -5.385690559967963398e+07 -1.239914843398294397e+04 6.220634958485199139e+06 9.965062323408870026e+06 -7.092608294176210463e+07 -4.929060069739037156e+08 -3.508673729758465290e+08 6.799165259090662003e+07 5.845894127341629267e+08
