# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
2.762329878842664039e+04 -4.202317803774197102e+01 7.046304766576656140e+06 1.081104464754570508e+05 3.240844757842274266e+05 1.072347214531209902e+05 -6.938871797739025205e+05 1.458748027354953112e+06 -5.089492273682796513e+05 -6.737065579777706414e+06
-4.202317803774197102e+01 9.757781821458356986e-02 -1.064099443372795031e+04 -1.535448552702937377e+02 -5.846392197726225959e+02 -1.527125949877063249e+02 1.071720669384515077e+03 -2.090824845868162356e+03 7.864774430724095282e+02 9.527441178436438349e+03
7.046304766576656140e+06 -1.064099443372795031e+04 1.091142798535265923e+10 3.007172310458898917e+07 -2.370700836687372923e+08 7.461792644125547667e+04 4.363421290320893377e+07 -4.931201094447813034e+08 2.544429697924206406e+07 -1.846593883557294607e+09
1.081104464754570508e+05 -1.535448552702937377e+02 3.007172310458898917e+07 4.641634304240500787e+05 1.145594564380978001e+06 4.525793200114165084e+05 -2.761223488264571410e+06 6.260254850443673320e+06 -2.061562237894572085e+06 -2.875310424425119162e+07
3.240844757842274266e+05 -5.846392197726225959e+02 -2.370700836687372923e+08 1.145594564380978001e+06 2.984283306836470962e+07 2.687048941144902259e+06 -2.180825225605704263e+07 6.801626355941842496e+07 -1.877557842659599707e+07 -6.445253005259648710e+07
1.072347214531209902e+05 -1.527125949877063249e+02 7.461792644125547667e+04 4.525793200114165084e+05 2.687048941144902259e+06 5.678155449777595932e+05 -3.750033277277410962e+06 9.935753687383681536e+06 -2.809696580624242779e+06 -2.805698817398150265e+07
-6.938871797739025205e+05 1.071720669384515077e+03 4.363421290320893377e+07 -2.761223488264571410e+06 -2.180825225605704263e+07 -3.750033277277410962e+06 2.632824437358871847e+07 -7.096659419282153249e+07 1.987414153574408218e+07 1.706253437767459154e+08
1.458748027354953112e+06 -2.090824845868162356e+03 -4.931201094447813034e+08 6.260254850443673320e+06 6.801626355941842496e+07 9.935753687383681536e+06 -7.096659419282153249e+07 5.831489220938537121e+08 -5.388784381637192518e+07 -3.494898782212581635e+08
-5.089492273682796513e+05 7.864774430724095282e+02 2.544429697924206406e+07 -2.061562237894572085e+06 -1.877557842659599707e+07 -2.809696580624242779e+06 1.987414153574408218e+07 -5.388784381637192518e+07 1.609922399990575761e+07 1.244764222572581619e+08
-6.737065579777706414e+06 9.527441178436438349e+03 -1.846593883557294607e+09 -2.875310424425119162e+07 -6.445253005259648710e+07 -2.805698817398150265e+07 1.706253437767459154e+08 -3.494898782212581635e+08 1.244764222572581619e+08 1.795213479075134754e+09
