# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
2.762329878842665494e+04 -6.788763153137363261e+05 -3.272000462844965796e+02 7.046304766576654278e+06 1.081104464754570072e+05 3.240844757842277177e+05 1.072347214531210193e+05 -6.938871797739025205e+05 1.458748027354953578e+06 -5.089492273682798259e+05 -6.737065579777707346e+06 -7.545126311248631682e+05
-6.788763153137363261e+05 3.191224107118894905e+07 1.959806835855808094e+04 -1.468367747294683456e+08 -2.389764207145332824e+06 -1.233953216570792161e+07 -2.503416564460843336e+06 1.812146355084457994e+07 -3.726584382356778532e+07 1.388308692973307148e+07 1.472018482180214226e+08 4.060553458451765031e+07
-3.272000462844965796e+02 1.959806835855808094e+04 1.749148953176737109e+01 -8.273995047912524024e+04 -1.158432000801192316e+03 -5.228847334156838770e+03 -1.157140772358626009e+03 8.617112221155095540e+03 -1.600323093908122610e+04 6.355991228148318442e+03 7.139956191180860333e+04 2.976785875718700117e+04
7.046304766576654278e+06 -1.468367747294683456e+08 -8.273995047912524024e+04 1.091142798535265923e+10 3.007172310458896309e+07 -2.370700836687372327e+08 7.461792644124917570e+04 4.363421290320896357e+07 -4.931201094447812438e+08 2.544429697924209759e+07 -1.846593883557294369e+09 -1.860986600908118486e+08
1.081104464754570072e+05 -2.389764207145332824e+06 -1.158432000801192316e+03 3.007172310458896309e+07 4.641634304240496713e+05 1.145594564380977768e+06 4.525793200114163919e+05 -2.761223488264569547e+06 6.260254850443670526e+06 -2.061562237894571153e+06 -2.875310424425118044e+07 -2.652877005206800997e+06
3.240844757842277177e+05 -1.233953216570792161e+07 -5.228847334156838770e+03 -2.370700836687372327e+08 1.145594564380977768e+06 2.984283306836471334e+07 2.687048941144902725e+06 -2.180825225605704635e+07 6.801626355941842496e+07 -1.877557842659600452e+07 -6.445253005259652436e+07 -1.263204056997812912e+07
1.072347214531210193e+05 -2.503416564460843336e+06 -1.157140772358626009e+03 7.461792644124917570e+04 4.525793200114163919e+05 2.687048941144902725e+06 5.678155449777595932e+05 -3.750033277277410962e+06 9.935753687383679673e+06 -2.809696580624243245e+06 -2.805698817398150638e+07 -2.677754732987521216e+06
-6.938871797739025205e+05 1.812146355084457994e+07 8.617112221155095540e+03 4.363421290320896357e+07 -2.761223488264569547e+06 -2.180825225605704635e+07 -3.750033277277410962e+06 2.632824437358872592e+07 -7.096659419282153249e+07 1.987414153574408218e+07 1.706253437767459154e+08 1.978535070875459537e+07
1.458748027354953578e+06 -3.726584382356778532e+07 -1.600323093908122610e+04 -4.931201094447812438e+08 6.260254850443670526e+06 6.801626355941842496e+07 9.935753687383679673e+06 -7.096659419282153249e+07 5.831489220938535929e+08 -5.388784381637192518e+07 -3.494898782212581635e+08 -3.773512259638881683e+07
-5.089492273682798259e+05 1.388308692973307148e+07 6.355991228148318442e+03 2.544429697924209759e+07 -2.061562237894571153e+06 -1.877557842659600452e+07 -2.809696580624243245e+06 1.987414153574408218e+07 -5.388784381637192518e+07 1.609922399990575761e+07 1.244764222572581619e+08 1.487842958275583200e+07
-6.737065579777707346e+06 1.472018482180214226e+08 7.139956191180860333e+04 -1.846593883557294369e+09 -2.875310424425118044e+07 -6.445253005259652436e+07 -2.805698817398150638e+07 1.706253437767459154e+08 -3.494898782212581635e+08 1.244764222572581619e+08 1.795213479075134754e+09 1.633413183732135892e+08
-7.545126311248631682e+05 4.060553458451765031e+07 2.976785875718700117e+04 -1.860986600908118486e+08 -2.652877005206800997e+06 -1.263204056997812912e+07 -2.677754732987521216e+06 1.978535070875459537e+07 -3.773512259638881683e+07 1.487842958275583200e+07 1.633413183732135892e+08 5.680141742641338706e+07
