# A_ksz HMCode_logT_AGN logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.195971901192832738e+07 -6.795188812067701947e+05 1.389557151069350168e+07 3.631263417556277545e+03 -2.392117186828369275e+06 4.067886881813635677e+07 -2.505410992255220190e+06 1.813826028522219881e+07 -1.469764372401997149e+08 1.473375630642763972e+08 -1.235004576786774211e+07 -3.728995858605709672e+07
-6.795188812067701947e+05 2.763699996626490247e+04 -5.091932502738884068e+05 -5.902995960845548495e+01 1.081615172022490733e+05 -7.553832019539722241e+05 1.072756618045525393e+05 -6.942175281870610779e+05 7.049235368499520235e+06 -6.739998438854842447e+06 3.242642822971555870e+05 1.459205799162138952e+06
1.389557151069350168e+07 -5.091932502738884068e+05 1.610372431235729158e+07 1.142388128749601492e+03 -2.062465510526133701e+06 1.489513312345761061e+07 -2.810420917817831505e+06 1.988011401595345885e+07 2.539395253574341536e+07 1.245278475714853704e+08 -1.877914258102891594e+07 -5.389610941562442482e+07
3.631263417556277545e+03 -5.902995960845548495e+01 1.142388128749601492e+03 6.403260311479936906e-01 -2.089558550553469445e+02 5.596102838125593735e+03 -2.079336280746345835e+02 1.554255815157779352e+03 -1.507770829821358711e+04 1.287741466881645647e+04 -9.348420862195147265e+02 -2.858112995335530286e+03
-2.392117186828369275e+06 1.081615172022490733e+05 -2.062465510526133701e+06 -2.089558550553469445e+02 4.651044321755883866e+05 -2.656068268922854681e+06 4.519664247607642319e+05 -2.762448434979238547e+06 3.006977756393497437e+07 -2.872504922005002946e+07 1.146252608086112654e+06 6.228735015166185796e+06
4.067886881813635677e+07 -7.553832019539722241e+05 1.489513312345761061e+07 5.596102838125593735e+03 -2.656068268922854681e+06 5.692223604020117968e+07 -2.680446318677813280e+06 1.980830044908276200e+07 -1.862953971116476059e+08 1.635261850252522826e+08 -1.264575627534890175e+07 -3.776692597853548825e+07
-2.505410992255220190e+06 1.072756618045525393e+05 -2.810420917817831505e+06 -2.079336280746345835e+02 4.519664247607642319e+05 -2.680446318677813280e+06 5.687121959393145517e+05 -3.751005024022663478e+06 9.618252151292556664e+04 -2.810536401109900698e+07 2.687589863656436559e+06 9.970876025539873168e+06
1.813826028522219881e+07 -6.942175281870610779e+05 1.988011401595345885e+07 1.554255815157779352e+03 -2.762448434979238547e+06 1.980830044908276200e+07 -3.751005024022663478e+06 2.633627290478627011e+07 4.356461480222582817e+07 1.706951969816532731e+08 -2.181282759307963029e+07 -7.097740409602241218e+07
-1.469764372401997149e+08 7.049235368499520235e+06 2.539395253574341536e+07 -1.507770829821358711e+04 3.006977756393497437e+07 -1.862953971116476059e+08 9.618252151292556664e+04 4.356461480222582817e+07 1.091234154512623405e+10 -1.847891361399037123e+09 -2.370352045985955596e+08 -4.924933793813557029e+08
1.473375630642763972e+08 -6.739998438854842447e+06 1.245278475714853704e+08 1.287741466881645647e+04 -2.872504922005002946e+07 1.635261850252522826e+08 -2.810536401109900698e+07 1.706951969816532731e+08 -1.847891361399037123e+09 1.797866391960325003e+09 -6.448958891248562932e+07 -3.513107444674855471e+08
-1.235004576786774211e+07 3.242642822971555870e+05 -1.877914258102891594e+07 -9.348420862195147265e+02 1.146252608086112654e+06 -1.264575627534890175e+07 2.687589863656436559e+06 -2.181282759307963029e+07 -2.370352045985955596e+08 -6.448958891248562932e+07 2.984599747425983474e+07 6.802284901980087161e+07
-3.728995858605709672e+07 1.459205799162138952e+06 -5.389610941562442482e+07 -2.858112995335530286e+03 6.228735015166185796e+06 -3.776692597853548825e+07 9.970876025539873168e+06 -7.097740409602241218e+07 -4.924933793813557029e+08 -3.513107444674855471e+08 6.802284901980087161e+07 5.846466100861417055e+08
