# A_ksz logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.196470692734462768e+07 1.466218598899776489e+07 2.567604649989144491e+03 -2.239406597201979719e+06 4.068669220285388082e+07 -2.665162538419505116e+06 1.887044851696570218e+07 -1.306331132557199001e+08 1.508328218167865872e+08 -1.322986960690549016e+07 -4.056859113624953479e+07
1.466218598899776489e+07 1.715181806140168011e+07 8.811420748892203392e+02 -2.078698067681743298e+06 1.572041055218128301e+07 -3.026910858839557040e+06 2.095971149974202365e+07 2.894432116808230430e+07 1.338426886456565708e+08 -1.963441482298197970e+07 -5.741016278182120621e+07
2.567604649989144491e+03 8.811420748892203392e+02 3.009068171247636370e-01 -1.406972369586663376e+02 3.894174048771836169e+03 -1.626611730191723950e+02 1.186898530311238346e+03 -9.731223942910823098e+03 9.613260833006195753e+03 -7.419519931424844117e+02 -2.331173492978045942e+03
-2.239406597201979719e+06 -2.078698067681743298e+06 -1.406972369586663376e+02 4.353472321587385959e+05 -2.467568593501750845e+06 4.581762578568067402e+05 -2.724247707167990971e+06 2.736655723435929045e+07 -2.842153966494181007e+07 1.155877596783929504e+06 6.378958950943543576e+06
4.068669220285388082e+07 1.572041055218128301e+07 3.894174048771836169e+03 -2.467568593501750845e+06 5.693527073046109080e+07 -2.862046535290898290e+06 2.070604147020386159e+07 -1.674160736934003830e+08 1.675102447523626685e+08 -1.360492510185662843e+07 -4.155765726624423265e+07
-2.665162538419505116e+06 -3.026910858839557040e+06 -1.626611730191723950e+02 4.581762578568067402e+05 -2.862046535290898290e+06 6.148852376847756095e+05 -3.977025967388710938e+06 -3.217521989608127042e+05 -3.019553240440774336e+07 2.845697669458040968e+06 1.068834539050075412e+07
1.887044851696570218e+07 2.095971149974202365e+07 1.186898530311238346e+03 -2.724247707167990971e+06 2.070604147020386159e+07 -3.977025967388710938e+06 2.737320703522386402e+07 5.145106633126951754e+07 1.794516765587706268e+08 -2.270022681471247971e+07 -7.472375788059487939e+07
-1.306331132557199001e+08 2.894432116808230430e+07 -9.731223942910823098e+03 2.736655723435929045e+07 -1.674160736934003830e+08 -3.217521989608127042e+05 5.145106633126951754e+07 1.069156870463692284e+10 -1.780733519403791428e+09 -2.404835608510710299e+08 -4.949514104137129188e+08
1.508328218167865872e+08 1.338426886456565708e+08 9.613260833006195753e+03 -2.842153966494181007e+07 1.675102447523626685e+08 -3.019553240440774336e+07 1.794516765587706268e+08 -1.780733519403791428e+09 1.882635154718861103e+09 -7.079370181721441448e+07 -3.842520690054546595e+08
-1.322986960690549016e+07 -1.963441482298197970e+07 -7.419519931424844117e+02 1.155877596783929504e+06 -1.360492510185662843e+07 2.845697669458040968e+06 -2.270022681471247971e+07 -2.404835608510710299e+08 -7.079370181721441448e+07 3.072199741019545868e+07 7.082115767561984062e+07
-4.056859113624953479e+07 -5.741016278182120621e+07 -2.331173492978045942e+03 6.378958950943543576e+06 -4.155765726624423265e+07 1.068834539050075412e+07 -7.472375788059487939e+07 -4.949514104137129188e+08 -3.842520690054546595e+08 7.082115767561984062e+07 5.959021649841494560e+08
