# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.196470692734462768e+07 2.567604649989144491e+03 -1.306331132557199001e+08 -2.239406597201979719e+06 -1.322986960690549016e+07 -2.665162538419505116e+06 1.887044851696570218e+07 -4.056859113624953479e+07 1.466218598899776489e+07 1.508328218167865872e+08 4.068669220285388082e+07
2.567604649989144491e+03 3.009068171247636370e-01 -9.731223942910823098e+03 -1.406972369586663376e+02 -7.419519931424844117e+02 -1.626611730191723950e+02 1.186898530311238346e+03 -2.331173492978045942e+03 8.811420748892203392e+02 9.613260833006195753e+03 3.894174048771836169e+03
-1.306331132557199001e+08 -9.731223942910823098e+03 1.069127133243622780e+10 2.737952946265137196e+07 -2.404835608510710299e+08 -3.349176884239119827e+05 5.145106633126951754e+07 -4.954914854565605521e+08 2.894432116808230430e+07 -1.780063271994714737e+09 -1.674160736934003830e+08
-2.239406597201979719e+06 -1.406972369586663376e+02 2.737952946265137196e+07 4.345963462176171015e+05 1.155877596783929504e+06 4.589417844131150050e+05 -2.724247707167990971e+06 6.412182316793954931e+06 -2.078698067681743298e+06 -2.846054236145291477e+07 -2.467568593501750845e+06
-1.322986960690549016e+07 -7.419519931424844117e+02 -2.404835608510710299e+08 1.155877596783929504e+06 3.072199741019545868e+07 2.845697669458040968e+06 -2.270022681471247971e+07 7.082115767561984062e+07 -1.963441482298197970e+07 -7.079370181721441448e+07 -1.360492510185662843e+07
-2.665162538419505116e+06 -1.626611730191723950e+02 -3.349176884239119827e+05 4.589417844131150050e+05 2.845697669458040968e+06 6.141047364584704628e+05 -3.977025967388710938e+06 1.065444664315954037e+07 -3.026910858839557040e+06 -3.015576634292499349e+07 -2.862046535290898290e+06
1.887044851696570218e+07 1.186898530311238346e+03 5.145106633126951754e+07 -2.724247707167990971e+06 -2.270022681471247971e+07 -3.977025967388710938e+06 2.737320703522386402e+07 -7.472375788059487939e+07 2.095971149974202365e+07 1.794516765587706268e+08 2.070604147020386159e+07
-4.056859113624953479e+07 -2.331173492978045942e+03 -4.954914854565605521e+08 6.412182316793954931e+06 7.082115767561984062e+07 1.065444664315954037e+07 -7.472375788059487939e+07 5.944165038244481087e+08 -5.741016278182120621e+07 -3.825247267490894198e+08 -4.155765726624423265e+07
1.466218598899776489e+07 8.811420748892203392e+02 2.894432116808230430e+07 -2.078698067681743298e+06 -1.963441482298197970e+07 -3.026910858839557040e+06 2.095971149974202365e+07 -5.741016278182120621e+07 1.715181806140168011e+07 1.338426886456565708e+08 1.572041055218128301e+07
1.508328218167865872e+08 9.613260833006195753e+03 -1.780063271994714737e+09 -2.846054236145291477e+07 -7.079370181721441448e+07 -3.015576634292499349e+07 1.794516765587706268e+08 -3.825247267490894198e+08 1.338426886456565708e+08 1.880609094460099459e+09 1.675102447523626685e+08
4.068669220285388082e+07 3.894174048771836169e+03 -1.674160736934003830e+08 -2.467568593501750845e+06 -1.360492510185662843e+07 -2.862046535290898290e+06 2.070604147020386159e+07 -4.155765726624423265e+07 1.572041055218128301e+07 1.675102447523626685e+08 5.693527073046109080e+07
