# A_ksz HMCode_logT_AGN logA mnu n_ksz nnu ns ombh2 omch2 tau theta
3.198199732299672067e+07 -8.948739526779497974e+05 1.688221435330012813e+07 -3.109478648224646691e+06 4.071316255026139319e+07 -3.244947220288449898e+06 2.329584782437865436e+07 -1.876538138529041409e+08 1.939447394438161552e+08 -1.377630281263677031e+07 -4.760174297345931083e+07
-8.948739526779497974e+05 4.850759551041543455e+04 -1.156188661055229837e+06 2.219521735073902528e+05 -9.270357487223716453e+05 2.281379505885677936e+05 -1.362970355211269576e+06 1.197419698669899441e+07 -1.333747109501889534e+07 8.708670857582964236e+05 3.363044102998980787e+06
1.688221435330012813e+07 -1.156188661055229837e+06 6.147366370518124104e+07 -9.401277617987541482e+06 1.686354522315327823e+07 -1.003182886070617288e+07 4.966907716398938745e+07 -3.749078592790593505e+08 5.078628778971053362e+08 -5.995211140251916647e+07 -1.642443101191761494e+08
-3.109478648224646691e+06 2.219521735073902528e+05 -9.401277617987541482e+06 1.656397263125078520e+06 -3.164979967986571137e+06 1.633448920664868318e+06 -7.785134436615058221e+06 9.359620962608171999e+07 -9.147289288394588232e+07 7.796211408620621078e+06 2.414795798298494890e+07
4.071316255026139319e+07 -9.270357487223716453e+05 1.686354522315327823e+07 -3.164979967986571137e+06 5.697856928005150706e+07 -3.195545280652530026e+06 2.369128973641745001e+07 -2.185388785436898470e+08 1.974410339874841571e+08 -1.337871899905541353e+07 -4.456834317661111802e+07
-3.244947220288449898e+06 2.281379505885677936e+05 -1.003182886070617288e+07 1.633448920664868318e+06 -3.195545280652530026e+06 1.757786433155491482e+06 -8.969646464931841940e+06 5.941039804244887084e+07 -9.105231796636174619e+07 9.190917015593608841e+06 2.858552785495316610e+07
2.329584782437865436e+07 -1.362970355211269576e+06 4.966907716398938745e+07 -7.785134436615058221e+06 2.369128973641745001e+07 -8.969646464931841940e+06 5.175027327727404982e+07 -1.807106740667205453e+08 4.487284271262457371e+08 -4.795405772386425734e+07 -1.539966814973573089e+08
-1.876538138529041409e+08 1.197419698669899441e+07 -3.749078592790593505e+08 9.359620962608171999e+07 -2.185388785436898470e+08 5.941039804244887084e+07 -1.807106740667205453e+08 1.538694071048955154e+10 -5.069392908390354156e+09 1.314633340735989511e+08 2.825268980040132999e+08
1.939447394438161552e+08 -1.333747109501889534e+07 5.078628778971053362e+08 -9.147289288394588232e+07 1.974410339874841571e+08 -9.105231796636174619e+07 4.487284271262457371e+08 -5.069392908390354156e+09 5.142542197724076271e+09 -4.096992473408449888e+08 -1.330801438392667770e+09
-1.377630281263677031e+07 8.708670857582964236e+05 -5.995211140251916647e+07 7.796211408620621078e+06 -1.337871899905541353e+07 9.190917015593608841e+06 -4.795405772386425734e+07 1.314633340735989511e+08 -4.096992473408449888e+08 6.719389305551338196e+07 1.676544266625439525e+08
-4.760174297345931083e+07 3.363044102998980787e+06 -1.642443101191761494e+08 2.414795798298494890e+07 -4.456834317661111802e+07 2.858552785495316610e+07 -1.539966814973573089e+08 2.825268980040132999e+08 -1.330801438392667770e+09 1.676544266625439525e+08 6.983992927353798151e+08
