# A_ksz logA mnu n_ksz nnu ns ombh2 omch2 tau theta
3.198199732299672067e+07 1.810205896277151629e+07 -2.979542947753631510e+06 4.071316255026139319e+07 -3.510139320945138112e+06 2.455729526108042151e+07 -1.710247458026003540e+08 2.024800476167061329e+08 -1.493265657999577187e+07 -5.247028250479608029e+07
1.810205896277151629e+07 6.420720921483319253e+07 -9.548884269663099200e+06 1.807045478461053967e+07 -1.057943418099169619e+07 5.255544961386367679e+07 -3.714424457095017433e+08 5.326218762541039586e+08 -6.210622094442044199e+07 -1.728248230775693357e+08
-2.979542947753631510e+06 -9.548884269663099200e+06 1.620160624983266927e+06 -2.995814924175100401e+06 1.665547876943114446e+06 -7.875127620909036137e+06 8.962366837389245629e+07 -9.208928664365470409e+07 7.905109496422621422e+06 2.469340021217044070e+07
4.071316255026139319e+07 1.807045478461053967e+07 -2.995814924175100401e+06 5.697856928005151451e+07 -3.467861890493524726e+06 2.506738564999337867e+07 -1.995535551436642408e+08 2.058158706407309771e+08 -1.456746996268098429e+07 -4.972896738818946481e+07
-3.510139320945138112e+06 -1.057943418099169619e+07 1.665547876943114446e+06 -3.467861890493524726e+06 1.869357318241085624e+06 -9.550300926232429221e+06 5.904221649586661905e+07 -9.620238607963877916e+07 9.608275942619545385e+06 3.031647893187392503e+07
2.455729526108042151e+07 5.255544961386367679e+07 -7.875127620909036137e+06 2.506738564999337867e+07 -9.550300926232429221e+06 5.461000497712329030e+07 -1.733903005358294249e+08 4.739642001852717400e+08 -5.026947007404021174e+07 -1.632420090629209876e+08
-1.710247458026003540e+08 -3.714424457095017433e+08 8.962366837389245629e+07 -1.995535551436642408e+08 5.904221649586661905e+07 -1.733903005358294249e+08 1.506871203504001999e+10 -4.982687941365416527e+09 1.278835455845633894e+08 2.806169145836092234e+08
2.024800476167061329e+08 5.326218762541039586e+08 -9.208928664365470409e+07 2.058158706407309771e+08 -9.620238607963877916e+07 4.739642001852717400e+08 -4.982687941365416527e+09 5.365639570769932747e+09 -4.281488569134691358e+08 -1.411379567239232779e+09
-1.493265657999577187e+07 -6.210622094442044199e+07 7.905109496422621422e+06 -1.456746996268098429e+07 9.608275942619545385e+06 -5.026947007404021174e+07 1.278835455845633894e+08 -4.281488569134691358e+08 6.902296511830560863e+07 1.743429378577984273e+08
-5.247028250479608029e+07 -1.728248230775693357e+08 2.469340021217044070e+07 -4.972896738818946481e+07 3.031647893187392503e+07 -1.632420090629209876e+08 2.806169145836092234e+08 -1.411379567239232779e+09 1.743429378577984273e+08 7.253698838046594858e+08
