# A_ksz ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.198199732299672067e+07 -1.710247458026003540e+08 -2.979542947753631510e+06 -1.493265657999577187e+07 -3.510139320945138112e+06 2.455729526108042151e+07 -5.247028250479608029e+07 1.810205896277151629e+07 2.024800476167061329e+08 4.071316255026139319e+07
-1.710247458026003540e+08 1.506841466283932495e+10 8.963664060218453407e+07 1.278835455845633894e+08 5.902905100640352070e+07 -1.733903005358294249e+08 2.800768395407615900e+08 -3.714424457095017433e+08 -4.982017693956339836e+09 -1.995535551436642408e+08
-2.979542947753631510e+06 8.963664060218453407e+07 1.619409739042145433e+06 7.905109496422621422e+06 1.666313403499422828e+06 -7.875127620909036137e+06 2.472662357802085206e+07 -9.548884269663099200e+06 -9.212828934016580880e+07 -2.995814924175100401e+06
-1.493265657999577187e+07 1.278835455845633894e+08 7.905109496422621422e+06 6.902296511830560863e+07 9.608275942619545385e+06 -5.026947007404021174e+07 1.743429378577984273e+08 -6.210622094442044199e+07 -4.281488569134691358e+08 -1.456746996268098429e+07
-3.510139320945138112e+06 5.902905100640352070e+07 1.666313403499422828e+06 9.608275942619545385e+06 1.868576817014780361e+06 -9.550300926232429221e+06 3.028258018453271315e+07 -1.057943418099169619e+07 -9.616262001815603673e+07 -3.467861890493524726e+06
2.455729526108042151e+07 -1.733903005358294249e+08 -7.875127620909036137e+06 -5.026947007404021174e+07 -9.550300926232429221e+06 5.461000497712329030e+07 -1.632420090629209876e+08 5.255544961386367679e+07 4.739642001852717400e+08 2.506738564999337867e+07
-5.247028250479608029e+07 2.800768395407615900e+08 2.472662357802085206e+07 1.743429378577984273e+08 3.028258018453271315e+07 -1.632420090629209876e+08 7.238842226449581385e+08 -1.728248230775693357e+08 -1.409652224982867479e+09 -4.972896738818946481e+07
1.810205896277151629e+07 -3.714424457095017433e+08 -9.548884269663099200e+06 -6.210622094442044199e+07 -1.057943418099169619e+07 5.255544961386367679e+07 -1.728248230775693357e+08 6.420720921483319253e+07 5.326218762541039586e+08 1.807045478461053967e+07
2.024800476167061329e+08 -4.982017693956339836e+09 -9.212828934016580880e+07 -4.281488569134691358e+08 -9.616262001815603673e+07 4.739642001852717400e+08 -1.409652224982867479e+09 5.326218762541039586e+08 5.363613510511171341e+09 2.058158706407309771e+08
4.071316255026139319e+07 -1.995535551436642408e+08 -2.995814924175100401e+06 -1.456746996268098429e+07 -3.467861890493524726e+06 2.506738564999337867e+07 -4.972896738818946481e+07 1.807045478461053967e+07 2.058158706407309771e+08 5.697856928005151451e+07
