# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
4.850077815785811254e+04 -8.946470919914748520e+05 -4.112268088728239945e+01 1.197284864565387927e+07 2.219276608282228408e+05 8.707782720654463628e+05 2.281169878110234276e+05 -1.362809971110940911e+06 3.362788289444098715e+06 -1.156069183814725140e+06 -1.333603213639589213e+07 -9.267424178232506383e+05
-8.946470919914748520e+05 3.196921715433495492e+07 2.069727322450569773e+03 -1.876068745519047976e+08 -3.108703090500248596e+06 -1.377320632698690146e+07 -3.244277928027026821e+06 2.329038716463675722e+07 -4.759366100450323522e+07 1.687826069915809110e+07 1.938986869832299352e+08 4.069347629398647696e+07
-4.112268088728239945e+01 2.069727322450569773e+03 1.900031666805097053e-01 -9.981930311332775091e+03 -1.417034988415180692e+02 -5.832754778010745440e+02 -1.417668750007150607e+02 1.059363031378329197e+03 -1.948301545623212405e+03 7.477548876821762178e+02 8.828628448232322626e+03 3.128712912258164579e+03
1.197284864565387927e+07 -1.876068745519047976e+08 -9.981930311332775091e+03 1.538638407291359329e+10 9.360437790230734646e+07 1.314468395816745013e+08 5.939326348619357497e+07 -1.806794824783670008e+08 2.819405069851298332e+08 -3.748850208150591850e+08 -5.068441536851917267e+09 -2.184763152804512084e+08
2.219276608282228408e+05 -3.108703090500248596e+06 -1.417034988415180692e+02 9.360437790230734646e+07 1.655557945818038424e+06 7.795893934989136644e+06 1.634139330883572809e+06 -7.784561187332216650e+06 2.418026971031214297e+07 -9.400848987450240180e+06 -9.150670854362851381e+07 -3.163984949724589009e+06
8.707782720654463628e+05 -1.377320632698690146e+07 -5.832754778010745440e+02 1.314468395816745013e+08 7.795893934989136644e+06 6.719257693728998303e+07 9.190646180534828454e+06 -4.795194713036102057e+07 1.676510475163792074e+08 -5.995048737313096225e+07 -4.096807974128303528e+08 -1.337479306145470217e+07
2.281169878110234276e+05 -3.244277928027026821e+06 -1.417668750007150607e+02 5.939326348619357497e+07 1.634139330883572809e+06 9.190646180534828454e+06 1.756944663084659260e+06 -8.969166378682430834e+06 2.855091532605855167e+07 -1.003146680692746304e+07 -9.100820344536496699e+07 -3.194689131814511027e+06
-1.362809971110940911e+06 2.329038716463675722e+07 1.059363031378329197e+03 -1.806794824783670008e+08 -7.784561187332216650e+06 -4.795194713036102057e+07 -8.969166378682430834e+06 5.174653740177956223e+07 -1.539909384359377325e+08 4.966627677331633121e+07 4.486949948685516715e+08 2.368419367893430963e+07
3.362788289444098715e+06 -4.759366100450323522e+07 -1.948301545623212405e+03 2.819405069851298332e+08 2.418026971031214297e+07 1.676510475163792074e+08 2.855091532605855167e+07 -1.539909384359377325e+08 6.969056098434436321e+08 -1.642399049428856671e+08 -1.329022129605958700e+09 -4.455819320022543520e+07
-1.156069183814725140e+06 1.687826069915809110e+07 7.477548876821762178e+02 -3.748850208150591850e+08 -9.400848987450240180e+06 -5.995048737313096225e+07 -1.003146680692746304e+07 4.966627677331633121e+07 -1.642399049428856671e+08 6.147154752616206557e+07 5.078378659531043768e+08 1.685847690929991752e+07
-1.333603213639589213e+07 1.938986869832299352e+08 8.828628448232322626e+03 -5.068441536851917267e+09 -9.150670854362851381e+07 -4.096807974128303528e+08 -9.100820344536496699e+07 4.486949948685516715e+08 -1.329022129605958700e+09 5.078378659531043768e+08 5.140213031119921684e+09 1.973816492551743984e+08
-9.267424178232506383e+05 4.069347629398647696e+07 3.128712912258164579e+03 -2.184763152804512084e+08 -3.163984949724589009e+06 -1.337479306145470217e+07 -3.194689131814511027e+06 2.368419367893430963e+07 -4.455819320022543520e+07 1.685847690929991752e+07 1.973816492551743984e+08 5.694622802098686248e+07
