# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
4.850333395465063950e+04 -1.156113583296546945e+06 -2.775754176581755495e+00 2.219368269992574060e+05 2.281246854037097655e+05 -1.362869950995228719e+06 1.197334865578353405e+07 -1.333656470229467750e+07 8.708113937993313884e+05 3.362880696319050621e+06
-1.156113583296546945e+06 6.147233376417072117e+07 5.332535630429170226e+01 -9.401009575557095930e+06 -1.003159966897957772e+07 4.966732251069502532e+07 -3.748934564523861408e+08 5.078471114993789196e+08 -5.995109162733678520e+07 -1.642414918270340264e+08
-2.775754176581755495e+00 5.332535630429170226e+01 2.303068287432530868e-04 -1.042261168490331436e+01 -1.067855931598017705e+01 7.253433820060412529e+01 -6.287385535610882243e+02 6.467943930289056880e+02 -3.956556329646473102e+01 -1.529967247218974933e+02
2.219368269992574060e+05 -9.401009575557095930e+06 -1.042261168490331436e+01 1.656342186355267884e+06 1.633401641690441640e+06 -7.784776831770916469e+06 9.359319240179152787e+07 -9.146963818274638057e+07 7.796013188613995910e+06 2.414737921379062161e+07
2.281246854037097655e+05 -1.003159966897957772e+07 -1.067855931598017705e+01 1.633401641690441640e+06 1.757747240547593450e+06 -8.969343469132198021e+06 5.940787302580679208e+07 -9.104955423724296689e+07 9.190745849607868120e+06 2.858506413922590017e+07
-1.362869950995228719e+06 4.966732251069502532e+07 7.253433820060412529e+01 -7.784776831770916469e+06 -8.969343469132198021e+06 5.174793801540314406e+07 -1.806910646355297863e+08 4.487074133519851565e+08 -4.795273717292399704e+07 -1.539930200798350573e+08
1.197334865578353405e+07 -3.748934564523861408e+08 -6.287385535610882243e+02 9.359319240179152787e+07 5.940787302580679208e+07 -1.806910646355297863e+08 1.538677658428878784e+10 -5.069214954545778275e+09 1.314529635486526340e+08 2.824970849757468700e+08
-1.333656470229467750e+07 5.078471114993789196e+08 6.467943930289056880e+02 -9.146963818274638057e+07 -9.104955423724296689e+07 4.487074133519851565e+08 -5.069214954545778275e+09 5.142350472118730545e+09 -4.096876385941994190e+08 -1.330768031644752741e+09
8.708113937993313884e+05 -5.995109162733678520e+07 -3.956556329646473102e+01 7.796013188613995910e+06 9.190745849607868120e+06 -4.795273717292399704e+07 1.314529635486526340e+08 -4.096876385941994190e+08 6.719306632115775347e+07 1.676522684254208803e+08
3.362880696319050621e+06 -1.642414918270340264e+08 -1.529967247218974933e+02 2.414737921379062161e+07 2.858506413922590017e+07 -1.539930200798350573e+08 2.824970849757468700e+08 -1.330768031644752741e+09 1.676522684254208803e+08 6.983939557570681572e+08
