# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
4.681597859112876176e+04 -1.541061390999404648e+04 1.161572760580012389e+07 2.152507835689641070e+05 8.471332132958767470e+05 2.224616138168033794e+05 -1.319909339895547135e+06 3.293879645558276214e+06 -1.123978645664106123e+06 -1.295197552120849304e+07
-1.541061390999404648e+04 6.639324620371248784e+03 -3.468836245962595567e+06 -5.765569975815684302e+04 -2.208159347154338902e+05 -5.971966421918374544e+04 4.009953585164839169e+05 -8.644194988622085657e+05 2.964454176060502650e+05 3.590210887782142032e+06
1.161572760580012389e+07 -3.468836245962595567e+06 1.531066658288992691e+10 9.220090225905060768e+07 1.267621406995800734e+08 5.823104747045455873e+07 -1.715884940047584176e+08 2.682771933231232166e+08 -3.683096088422795534e+08 -4.987572028951531410e+09
2.152507835689641070e+05 -5.765569975815684302e+04 9.220090225905060768e+07 1.629602866929697804e+06 7.704366458337189630e+06 1.612021631498278119e+06 -7.617091595759449527e+06 2.390974168955825269e+07 -9.276255572770848870e+06 -9.000143160034206510e+07
8.471332132958767470e+05 -2.208159347154338902e+05 1.267621406995800734e+08 7.704366458337189630e+06 6.681496856162654608e+07 9.112402573058500886e+06 -4.734335579707840830e+07 1.666660776410371065e+08 -5.948506870872017741e+07 -4.044342223566840291e+08
2.224616138168033794e+05 -5.971966421918374544e+04 5.823104747045455873e+07 1.612021631498278119e+06 9.112402573058500886e+06 1.738862963177494006e+06 -8.828574460138309747e+06 2.833853809471689910e+07 -9.926020076603569090e+06 -8.974578670843905210e+07
-1.319909339895547135e+06 4.009953585164839169e+05 -1.715884940047584176e+08 -7.617091595759449527e+06 -4.734335579707840830e+07 -8.828574460138309747e+06 5.065978309667761624e+07 -1.522955927386380434e+08 4.885503002445462346e+07 4.390724374753063321e+08
3.293879645558276214e+06 -8.644194988622085657e+05 2.682771933231232166e+08 2.390974168955825269e+07 1.666660776410371065e+08 2.833853809471689910e+07 -1.522955927386380434e+08 6.944792728022160530e+08 -1.629471002354937196e+08 -1.313846629574752092e+09
-1.123978645664106123e+06 2.964454176060502650e+05 -3.683096088422795534e+08 -9.276255572770848870e+06 -5.948506870872017741e+07 -9.926020076603569090e+06 4.885503002445462346e+07 -1.629471002354937196e+08 6.086204843454443663e+07 5.006604748983017802e+08
-1.295197552120849304e+07 3.590210887782142032e+06 -4.987572028951531410e+09 -9.000143160034206510e+07 -4.044342223566840291e+08 -8.974578670843905210e+07 4.390724374753063321e+08 -1.313846629574752092e+09 5.006604748983017802e+08 5.053469199982038498e+09
