# A_ksz HMCode_logT_AGN logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
2.961862924362123758e+07 -8.461409578071383294e+05 1.593008486458138190e+07 2.385361796766227111e+06 -2.920210155736643821e+06 3.737489561677531153e+07 -3.084681633092882112e+06 2.197139170827735960e+07 -1.766036339319202602e+08 1.830577868307048380e+08 -1.302660412064987607e+07 -4.568049437646605074e+07
-8.461409578071383294e+05 4.681597859112878359e+04 -1.123978645664106356e+06 -6.491763525517974631e+04 2.152507835689641943e+05 -8.694069517206239980e+05 2.224616138168034377e+05 -1.319909339895547600e+06 1.161572760580012202e+07 -1.295197552120849304e+07 8.471332132958770962e+05 3.293879645558277145e+06
1.593008486458138190e+07 -1.123978645664106356e+06 6.086204843454443663e+07 1.202927623794008279e+06 -9.276255572770848870e+06 1.572926825044029020e+07 -9.926020076603569090e+06 4.885503002445462346e+07 -3.683096088422795534e+08 5.006604748983017206e+08 -5.948506870872018486e+07 -1.629471002354937196e+08
2.385361796766227111e+06 -6.491763525517974631e+04 1.202927623794008279e+06 1.973254819438850973e+05 -2.259381086176892277e+05 3.145159989437135402e+06 -2.336808203503187979e+05 1.664988024612936424e+06 -1.470136027087186649e+07 1.414741551063687168e+07 -9.481179461415213300e+05 -3.357237996386473067e+06
-2.920210155736643821e+06 2.152507835689641943e+05 -9.276255572770848870e+06 -2.259381086176892277e+05 1.630353752870819531e+06 -2.938137865427425131e+06 1.611256104941969737e+06 -7.617091595759450458e+06 9.218793003075851500e+07 -8.996242890383096039e+07 7.704366458337190561e+06 2.387651832370784506e+07
3.737489561677531153e+07 -8.694069517206239980e+05 1.572926825044029020e+07 3.145159989437135402e+06 -2.938137865427425131e+06 5.190621919527257234e+07 -3.006168309781826567e+06 2.208223308152923733e+07 -2.047381388882661164e+08 1.844137427022801638e+08 -1.249636958876957558e+07 -4.237089214636994153e+07
-3.084681633092882112e+06 2.224616138168034377e+05 -9.926020076603569090e+06 -2.336808203503187979e+05 1.611256104941969737e+06 -3.006168309781826567e+06 1.739643464403799269e+06 -8.828574460138309747e+06 5.824421295991765708e+07 -8.978555276992179453e+07 9.112402573058500886e+06 2.837243684205811098e+07
2.197139170827735960e+07 -1.319909339895547600e+06 4.885503002445462346e+07 1.664988024612936424e+06 -7.617091595759450458e+06 2.208223308152923733e+07 -8.828574460138309747e+06 5.065978309667760879e+07 -1.715884940047584176e+08 4.390724374753063321e+08 -4.734335579707841575e+07 -1.522955927386380434e+08
-1.766036339319202602e+08 1.161572760580012202e+07 -3.683096088422795534e+08 -1.470136027087186649e+07 9.218793003075851500e+07 -2.047381388882661164e+08 5.824421295991765708e+07 -1.715884940047584176e+08 1.531096395509062004e+10 -4.988242276360608101e+09 1.267621406995801330e+08 2.688172683659709096e+08
1.830577868307048380e+08 -1.295197552120849304e+07 5.006604748983017206e+08 1.414741551063687168e+07 -8.996242890383096039e+07 1.844137427022801638e+08 -8.978555276992179453e+07 4.390724374753063321e+08 -4.988242276360608101e+09 5.055495260240799904e+09 -4.044342223566840291e+08 -1.315573971831117392e+09
-1.302660412064987607e+07 8.471332132958770962e+05 -5.948506870872018486e+07 -9.481179461415213300e+05 7.704366458337190561e+06 -1.249636958876957558e+07 9.112402573058500886e+06 -4.734335579707841575e+07 1.267621406995801330e+08 -4.044342223566840291e+08 6.681496856162655354e+07 1.666660776410371065e+08
-4.568049437646605074e+07 3.293879645558277145e+06 -1.629471002354937196e+08 -3.357237996386473067e+06 2.387651832370784506e+07 -4.237089214636994153e+07 2.837243684205811098e+07 -1.522955927386380434e+08 2.688172683659709096e+08 -1.315573971831117392e+09 1.666660776410371065e+08 6.959649339619174004e+08
