# A_ksz logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.193849783345912769e+07 1.808805396860691905e+07 1.062832114104108587e+04 -2.977084712444716133e+06 4.064586978404413164e+07 -3.507763680407221429e+06 2.453764214837310836e+07 -1.708865940544680655e+08 2.023225550767621994e+08 -1.492138082627922110e+07 -5.244094289914046973e+07
1.808805396860691905e+07 6.419893852727708220e+07 4.204408832193267699e+03 -9.547358068068061024e+06 1.805277770820848271e+07 -1.057801413743945584e+07 5.254452747261399031e+07 -3.713681458913799524e+08 5.325270354733242989e+08 -6.209977451001610607e+07 -1.728072239369154274e+08
1.062832114104108587e+04 4.204408832193267699e+03 5.065439612940464187e+00 -7.014653364047115929e+02 1.604198902959464976e+04 -8.114898265067663488e+02 5.886166339757203787e+03 -4.693623804733612633e+04 4.830634121049982787e+04 -3.343854992523419696e+03 -1.158133221119449627e+04
-2.977084712444716133e+06 -9.547358068068061024e+06 -7.014653364047115929e+02 1.619873268933531130e+06 -2.992725436174103059e+06 1.665278719804171240e+06 -7.873096001514324918e+06 8.960930914596022666e+07 -9.207132340512609482e+07 7.903963902677784674e+06 2.469006741278713569e+07
4.064586978404413164e+07 1.805277770820848271e+07 1.604198902959464976e+04 -2.992725436174103059e+06 5.686753764173108339e+07 -3.464870291991389357e+06 2.504197117440966517e+07 -1.993713599662152231e+08 2.056159044583249390e+08 -1.455332150018518977e+07 -4.969265564884274453e+07
-3.507763680407221429e+06 -1.057801413743945584e+07 -8.114898265067663488e+02 1.665278719804171240e+06 -3.464870291991389357e+06 1.869116451532699168e+06 -9.548419880407799035e+06 5.902927251407463104e+07 -9.618583794825495780e+07 9.607197342529989779e+06 3.031362533192934096e+07
2.453764214837310836e+07 5.254452747261399031e+07 5.886166339757203787e+03 -7.873096001514324918e+06 2.504197117440966517e+07 -9.548419880407799035e+06 5.459542652571175247e+07 -1.732883358193497360e+08 4.738378117666054964e+08 -5.026109247516836226e+07 -1.632190331127059162e+08
-1.708865940544680655e+08 -3.713681458913799524e+08 -4.693623804733612633e+04 8.960930914596022666e+07 -1.993713599662152231e+08 5.902927251407463104e+07 -1.732883358193497360e+08 1.506800951282947540e+10 -4.981795860601196289e+09 1.278293724714548588e+08 2.804645483080161810e+08
2.023225550767621994e+08 5.325270354733242989e+08 4.830634121049982787e+04 -9.207132340512609482e+07 2.056159044583249390e+08 -9.618583794825495780e+07 4.738378117666054964e+08 -4.981795860601196289e+09 5.364522974524563789e+09 -4.280778948850414753e+08 -1.411178392621479034e+09
-1.492138082627922110e+07 -6.209977451001610607e+07 -3.343854992523419696e+03 7.903963902677784674e+06 -1.455332150018518977e+07 9.607197342529989779e+06 -5.026109247516836226e+07 1.278293724714548588e+08 -4.280778948850414753e+08 6.901765756525427103e+07 1.743292295164720714e+08
-5.244094289914046973e+07 -1.728072239369154274e+08 -1.158133221119449627e+04 2.469006741278713569e+07 -4.969265564884274453e+07 3.031362533192934096e+07 -1.632190331127059162e+08 2.804645483080161810e+08 -1.411178392621479034e+09 1.743292295164720714e+08 7.253372443615114689e+08
