# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.196470692734462768e+07 2.612349403176419401e+03 -1.709703734633067250e+08 -2.978589168640352786e+06 -1.492823305320177786e+07 -3.509199578451582696e+06 2.454961204973929748e+07 -5.245847596972259879e+07 1.809657754746760428e+07 2.024181923509690762e+08 4.068669220285387337e+07
2.612349403176419401e+03 3.053479100878269126e-01 -1.155892210330133457e+04 -1.734881773646905856e+02 -8.279614135159516763e+02 -2.007827312676291740e+02 1.455010251337836280e+03 -2.869159327811130879e+03 1.040103794833882148e+03 1.194244177384878094e+04 3.937134166873453523e+03
-1.709703734633067250e+08 -1.155892210330133457e+04 1.506814980456047249e+10 8.963129985741257668e+07 1.278631722943148762e+08 5.902415858347925544e+07 -1.733522034530528784e+08 2.800184075747375488e+08 -3.714145694897632599e+08 -4.981681631019899368e+09 -1.994822842839227915e+08
-2.978589168640352786e+06 -1.734881773646905856e+02 8.963129985741257668e+07 1.619303982138021616e+06 7.904683775308815762e+06 1.666213111060899682e+06 -7.874376540541719645e+06 2.472536961775906384e+07 -9.548318364379487932e+06 -9.212160438768871129e+07 -2.994623888730970677e+06
-1.492823305320177786e+07 -8.279614135159516763e+02 1.278631722943148762e+08 7.904683775308815762e+06 6.902096854580822587e+07 9.607869060403270647e+06 -5.026634154714570940e+07 1.743377029480947256e+08 -6.210380324155724049e+07 -4.281221682757458687e+08 -1.456196084771298803e+07
-3.509199578451582696e+06 -2.007827312676291740e+02 5.902415858347925544e+07 1.666213111060899682e+06 9.607869060403270647e+06 1.868485350501239533e+06 -9.549595538974532858e+06 3.028147770681634918e+07 -1.057889981664568745e+07 -9.615636413459411263e+07 -3.466688579975333530e+06
2.454961204973929748e+07 1.455010251337836280e+03 -1.733522034530528784e+08 -7.874376540541719645e+06 -5.026634154714570940e+07 -9.549595538974532858e+06 5.460458250510743260e+07 -1.632332915298212469e+08 5.255137973757354170e+07 4.739169089739929438e+08 2.505752254178951308e+07
-5.245847596972259879e+07 -2.869159327811130879e+03 2.800184075747375488e+08 2.472536961775906384e+07 1.743377029480947256e+08 3.028147770681634918e+07 -1.632332915298212469e+08 7.238712999927661419e+08 -1.728181187825207412e+08 -1.409575142551334143e+09 -4.971450643943005055e+07
1.809657754746760428e+07 1.040103794833882148e+03 -3.714145694897632599e+08 -9.548318364379487932e+06 -6.210380324155724049e+07 -1.057889981664568745e+07 5.255137973757354170e+07 -1.728181187825207412e+08 6.420411576604687423e+07 5.325862838960106373e+08 1.806358590114944801e+07
2.024181923509690762e+08 1.194244177384878094e+04 -4.981681631019899368e+09 -9.212160438768871129e+07 -4.281221682757458687e+08 -9.615636413459411263e+07 4.739169089739929438e+08 -1.409575142551334143e+09 5.325862838960106373e+08 5.363192778333086967e+09 2.057379015146661401e+08
4.068669220285387337e+07 3.937134166873453523e+03 -1.994822842839227915e+08 -2.994623888730970677e+06 -1.456196084771298803e+07 -3.466688579975333530e+06 2.505752254178951308e+07 -4.971450643943005055e+07 1.806358590114944801e+07 2.057379015146661401e+08 5.693527073046109825e+07
